pulsep,pulsen,thrust_N,torque_Nm
1340,1700,4.8799,-0.06518
1340,1720,5.7852,-0.076235
1340,1740,5.9853,-0.07663
1340,1760,6.7485,-0.084044
1340,1780,5.735,-0.086054
1340,1800,5.9051,-0.095527
1360,1060,1.4994,0.029746
1360,1080,1.4801,0.027817
1360,1100,1.4065,0.027276
1360,1120,1.3885,0.025673
1360,1140,1.3887,0.023098
1360,1160,1.3754,0.020465
1360,1180,1.5499,0.018302
1360,1200,1.5624,0.016923
1360,1220,1.6922,0.013926
1360,1240,1.7304,0.011296
1360,1260,1.7761,0.008862
1360,1280,1.8852,0.004973
1360,1300,1.9978,0.001948
1360,1320,2.081,-0.002088
1360,1340,2.1754,-0.003738
1360,1360,2.3218,-0.007675
1360,1380,2.4058,-0.010441
1360,1400,2.471,-0.015283
1360,1420,2.6366,-0.016986
1360,1440,2.6338,-0.021937
1360,1460,2.7595,-0.024816
1360,1480,3.5526,-0.010045
1360,1500,3.5163,-0.013119
1360,1520,3.3352,-0.018042
1360,1540,3.4667,-0.023076
1360,1560,4.3498,-0.026308
1360,1580,4.1952,-0.030568
1360,1600,4.3991,-0.034282
1360,1620,4.2531,-0.040285
1360,1640,4.3471,-0.046305
1360,1660,4.639,-0.047172
1360,1680,4.6889,-0.055041
1360,1700,4.9878,-0.061756
1360,1720,5.9602,-0.0685
1360,1740,5.9842,-0.073447
1360,1760,6.8326,-0.078539
1360,1780,5.8415,-0.081269
1360,1800,6.1739,-0.09218
1380,1060,1.6172,0.032742
1380,1080,1.667,0.030811
1380,1100,1.5045,0.02951
1380,1120,1.5135,0.028793
1380,1140,1.5893,0.026389
1380,1160,1.478,0.023365
1380,1180,1.6597,0.021678
1380,1200,1.7751,0.020197
1380,1220,1.7982,0.016614
1380,1240,1.8697,0.015135
1380,1260,1.9161,0.012071
1380,1280,2.0061,0.008517
1380,1300,2.1088,0.003849
1380,1320,2.1841,0.001555
1380,1340,2.2932,-0.001081
1380,1360,2.4517,-0.004238
1380,1380,2.5517,-0.008881
1380,1400,2.6208,-0.011662
1380,1420,2.7526,-0.015546
1380,1440,2.7672,-0.019273
1380,1460,2.8829,-0.022021
1380,1480,3.6957,-0.007312
1380,1500,3.5953,-0.010063
1380,1520,3.4863,-0.013189
1380,1540,3.641,-0.016851
1380,1560,4.4852,-0.021675
1380,1580,4.2487,-0.025559
1380,1600,4.4497,-0.032119
1380,1620,4.3908,-0.035808
1380,1640,4.4871,-0.041882
1380,1660,4.7326,-0.045217
1380,1680,4.8633,-0.05062
1380,1700,5.1601,-0.055854
1380,1720,6.076,-0.066619
1380,1740,6.0657,-0.067508
1380,1760,6.9418,-0.07566
1380,1780,5.9733,-0.077352
1380,1800,6.2882,-0.085121
1400,1060,1.7484,0.035104
1400,1080,1.8386,0.034131
1400,1100,1.6751,0.033147
1400,1120,1.6477,0.031666
1400,1140,1.6412,0.029921
1400,1160,1.6488,0.027381
1400,1180,1.9291,0.024436
1400,1200,1.823,0.022639
1400,1220,1.9457,0.020107
1400,1240,1.9934,0.018472
1400,1260,2.0502,0.014073
1400,1280,2.1098,0.011617
1400,1300,2.2249,0.008153
1400,1320,2.3105,0.005024
1400,1340,2.4484,0.001499
1400,1360,2.5954,-0.001617
1400,1380,2.6929,-0.004543
1400,1400,2.763,-0.008291
1400,1420,2.8825,-0.012214
1400,1440,2.8878,-0.016875
1400,1460,2.994,-0.018907
1400,1480,3.8375,-0.001301
1400,1500,3.7104,-0.006339
1400,1520,3.6202,-0.009574
1400,1540,3.789,-0.013492
1400,1560,4.6352,-0.015978
1400,1580,4.4089,-0.022115
1400,1600,4.5829,-0.026318
1400,1620,4.5978,-0.032699
1400,1640,4.6727,-0.035737
1400,1660,4.8725,-0.039376
1400,1680,4.9047,-0.045456
1400,1700,5.3327,-0.052594
1400,1720,6.2266,-0.05815
1400,1740,6.2126,-0.063982
1400,1760,7.0535,-0.071644
1400,1780,6.2356,-0.072299
1400,1800,6.3431,-0.083965
1420,1060,1.9392,0.038344
1420,1080,1.9793,0.037081
1420,1100,1.8154,0.036446
1420,1120,1.7681,0.034361
1420,1140,1.7996,0.033535
1420,1160,1.7533,0.030473
1420,1180,1.9084,0.026881
1420,1200,1.9356,0.026822
1420,1220,2.0387,0.023366
1420,1240,2.1111,0.022519
1420,1260,2.2208,0.018188
1420,1280,2.2727,0.014918
1420,1300,2.3568,0.009783
1420,1320,2.5133,0.008792
1420,1340,2.55,0.00428
1420,1360,2.7148,0.001788
1420,1380,2.7798,-0.002265
1420,1400,2.8542,-0.006455
1420,1420,2.9969,-0.009963
1420,1440,3.0256,-0.013787
1420,1460,3.1466,-0.016699
1420,1480,3.9821,0.002592
1420,1500,3.8727,-0.000698
1420,1520,3.8576,-0.005205
1420,1540,3.9663,-0.008747
1420,1560,4.814,-0.012419
1420,1580,4.7041,-0.018041
1420,1600,4.7379,-0.021699
1420,1620,4.8681,-0.027076
1420,1640,4.8898,-0.034332
1420,1660,4.9261,-0.03553
1420,1680,5.1428,-0.04252
1420,1700,5.4319,-0.047081
1420,1720,6.4454,-0.052805
1420,1740,6.3452,-0.058038
1420,1760,7.2435,-0.063701
1420,1780,6.3628,-0.068413
1420,1800,6.3728,-0.078297
1440,1060,2.0848,0.041395
1440,1080,2.0894,0.040587
1440,1100,1.9601,0.039077
1440,1120,1.8934,0.037205
1440,1140,2.0259,0.037546
1440,1160,1.8671,0.033463
1440,1180,2.1213,0.031914
1440,1200,2.0642,0.030082
1440,1220,2.1982,0.027146
1440,1240,2.2542,0.025213
1440,1260,2.3571,0.021392
1440,1280,2.334,0.018395
1440,1300,2.4925,0.0134
1440,1320,2.5985,0.012245
1440,1340,2.639,0.008213
1440,1360,2.7945,0.005296
1440,1380,2.9162,0.001304
1440,1400,2.9724,-0.002776
1440,1420,3.1412,-0.00614
1440,1440,3.149,-0.010137
1440,1460,3.2895,-0.014275
1440,1480,4.1831,0.006894
1440,1500,4.1235,0.002559
1440,1520,3.9476,-0.002389
1440,1540,4.1331,-0.003944
1440,1560,4.9662,-0.0081
1440,1580,4.7362,-0.014114
1440,1600,4.8776,-0.016908
1440,1620,5.0409,-0.020815
1440,1640,5.1122,-0.028258
1440,1660,5.1653,-0.031721
1440,1680,5.3164,-0.037366
1440,1700,5.5584,-0.042831
1440,1720,6.517,-0.050083
1440,1740,6.4508,-0.053003
1440,1760,7.3897,-0.057926
1440,1780,6.6279,-0.063266
1440,1800,6.3629,-0.070663
1460,1060,2.1797,0.045148
1460,1080,2.2116,0.043513
1460,1100,2.1473,0.042792
1460,1120,2.0824,0.041552
1460,1140,2.1994,0.040341
1460,1160,1.9778,0.037206
1460,1180,2.3123,0.035123
1460,1200,2.1853,0.032567
1460,1220,2.3382,0.030403
1460,1240,2.4134,0.028355
1460,1260,2.5095,0.024821
1460,1280,2.5577,0.021127
1460,1300,2.6265,0.01715
1460,1320,2.7096,0.014999
1460,1340,2.7755,0.011884
1460,1360,2.9115,0.0081
1460,1380,3.0434,0.003748
1460,1400,3.1298,0.001248
1460,1420,3.2891,-0.004744
1460,1440,3.2751,-0.008484
1460,1460,3.4159,-0.010634
1460,1480,4.2677,0.009098
1460,1500,4.267,0.006552
1460,1520,4.3421,0.002602
1460,1540,4.2572,-0.000483
